year,month,wilkinsQcms
1980,1,608.557358877
1980,2,633.589451625
1980,3,500.302052796
1980,4,148.153743504
1980,5,147.134337012
1980,6,145.690177815
1980,7,143.84958276
1980,8,141.89572031699998
1980,9,151.63671568499998
1980,10,162.170582769
1980,11,294.891644658
1980,12,203.343278307
1981,1,424.752705
1981,2,373.329310848
1981,3,377.605154745
1981,4,136.855321551
1981,5,133.513933605
1981,6,222.74031850199998
1981,7,232.084878012
1981,8,171.968211831
1981,9,172.109796066
1981,10,135.609380283
1981,11,532.328406753
1981,12,611.134191954
1982,1,556.454360397
1982,2,606.150426882
1982,3,575.908034286
1982,4,591.510616983
1982,5,153.817112904
1982,6,145.095524028
1982,7,153.78879605699998
1982,8,142.263839328
1982,9,268.217174784
1982,10,251.142116043
1982,11,345.833652411
1982,12,594.313984836
1983,1,612.77656908
1983,2,666.125508828
1983,3,681.444923055
1983,4,586.215366594
1983,5,480.621844131
1983,6,379.38911610599996
1983,7,262.667072772
1983,8,272.323117599
1983,9,390.007933731
1983,10,297.3268935
1983,11,570.329615427
1983,12,651.372431541
1984,1,528.250780785
1984,2,320.235222723
1984,3,437.382018762
1984,4,151.21196297999998
1984,5,144.64245447599998
1984,6,159.310581222
1984,7,228.51695529
1984,8,145.038890334
1984,9,427.38617177099997
1984,10,223.22170490099998
1984,11,378.51129384899997
1984,12,303.49996614599996
1985,1,180.66148386
1985,2,215.434571976
1985,3,204.249417411
1985,4,141.074531754
1985,5,129.97432773
1985,6,132.324626031
1985,7,238.371218046
1985,8,233.953789914
1985,9,131.475120621
1985,10,130.625615211
1985,11,152.259686319
1985,12,218.26625667599998
1986,1,314.288684853
1986,2,676.291256901
1986,3,618.496572174
1986,4,144.302652312
1986,5,135.892548753
1986,6,135.722647671
1986,7,208.072191756
1986,8,128.360267451
1986,9,187.570794528
1986,10,128.671752768
1986,11,211.69674817199999
1986,12,128.360267451
1987,1,214.55674971899998
1987,2,321.67938191999997
1987,3,444.263012583
1987,4,119.666995422
1987,5,129.577891872
1987,6,218.26625667599998
1987,7,235.624483887
1987,8,172.930984629
1987,9,113.918675481
1987,10,168.343655415
1987,11,119.355510105
1987,12,341.557808514
1988,1,484.387984782
1988,2,182.07732621
1988,3,165.965040267
1988,4,101.402629107
1988,5,120.686401914
1988,6,198.50109747
1988,7,249.301520988
1988,8,138.66759975899998
1988,9,96.022428177
1988,10,124.622443647
1988,11,184.79574352199998
1988,12,161.91573114599998
1989,1,221.182891917
1989,2,139.828590486
1989,3,545.94881016
1989,4,162.368800698
1989,5,204.192783717
1989,6,116.495508558
1989,7,253.917167049
1989,8,174.261876438
1989,9,135.184627578
1989,10,169.05157659
1989,11,142.71690888
1989,12,137.761460655
1990,1,287.104511733
1990,2,178.877522499
1990,3,218.832593616
1990,4,96.10737871799999
1990,5,122.442046428
1990,6,135.184627578
1990,7,195.216343218
1990,8,116.66540964
1990,9,114.711547197
1990,10,102.50698614
1990,11,108.283622928
1990,12,124.36759202399999
1991,1,125.245414281
1991,2,131.95650702
1991,3,467.822629287
1991,4,161.462661594
1991,5,94.380051051
1991,6,99.562034052
1991,7,144.840672405
1991,8,147.021069624
1991,9,113.012536377
1991,10,121.139471466
1991,11,148.125426657
1991,12,127.62402942899999
1992,1,189.241488501
1992,2,506.899878147
1992,3,348.891871887
1992,4,125.471949057
1992,5,95.682626013
1992,6,96.305596647
1992,7,155.714341653
1992,8,109.501247349
1992,9,108.283622928
1992,10,102.903421998
1992,11,108.59510824499999
1992,12,245.705281419
1993,1,591.963686535
1993,2,582.222691167
1993,3,590.236358868
1993,4,369.393269115
1993,5,310.437593661
1993,6,259.608853296
1993,7,248.56528296599998
1993,8,161.660879523
1993,9,276.004307709
1993,10,194.706639972
1993,11,288.690255165
1993,12,192.611193294
1994,1,196.63218556799998
1994,2,344.729295378
1994,3,208.327043379
1994,4,129.747792954
1994,5,132.15472494899998
1994,6,155.855925888
1994,7,254.143701825
1994,8,227.809034115
1994,9,148.720080444
1994,10,129.181456014
1994,11,130.795516293
1994,12,213.084273675
1995,1,649.446885945
1995,2,579.504273855
1995,3,672.072046698
1995,4,400.938236673
1995,5,513.837505662
1995,6,214.64170026
1995,7,146.68126746
1995,8,217.699919736
1995,9,346.03187034
1995,10,197.963077377
1995,11,306.07679922299997
1995,12,302.112440643
1996,1,523.748402112
1996,2,641.518168785
1996,3,567.554564421
1996,4,222.51378372599999
1996,5,366.873069732
1996,6,150.532358652
1996,7,264.42271728599997
1996,8,143.56641428999998
1996,9,358.71781779599996
1996,10,242.250626085
1996,11,337.876618404
1996,12,594.767054388
1997,1,655.138572192
1997,2,411.755272227
1997,3,218.634375687
1997,4,135.241261272
1997,5,131.10700161
1997,6,131.503437468
1997,7,221.239525611
1997,8,129.181456014
1997,9,412.406559708
1997,10,220.843089753
1997,11,349.911278379
1997,12,366.476633874
1998,1,616.882511895
1998,2,689.090471745
1998,3,603.913395969
1998,4,433.049541171
1998,5,540.6818766179999
1998,6,511.515524208
1998,7,265.243905849
1998,8,236.643890379
1998,9,366.67485180299997
1998,10,260.373408165
1998,11,383.438425227
1998,12,518.566419111
1999,1,356.45247003599997
1999,2,635.2035119039999
1999,3,587.348040474
1999,4,236.67220722599998
1999,5,206.939517876
1999,6,135.014726496
1999,7,247.12112376899998
1999,8,128.247000063
1999,9,385.363970823
1999,10,253.350830109
1999,11,388.139021829
1999,12,192.469609059
2000,1,268.103907396
2000,2,642.112822572
2000,3,587.4046741679999
2000,4,157.61157040199998
2000,5,157.894738872
2000,6,187.542477681
2000,7,196.065848628
2000,8,165.37038648
2000,9,300.979766763
2000,10,222.485466879
2000,11,314.68512071099997
2000,12,176.07415464599998
